Packet Length Variance,Bwd Packet Length Max,Max Packet Length,Total Length of Fwd Packets,Packet Length Mean,Fwd Packet Length Mean,Fwd IAT Std,Fwd Packet Length Max,Bwd Header Length,Fwd Header Length,PSH Flag Count,Flow IAT Std,Init_Win_bytes_backward,Flow IAT Mean,Bwd Packet Length Min,Flow IAT Max,min_seg_size_forward,Min Packet Length,Init_Win_bytes_forward,act_data_pkt_fwd
0.0,6,6,6,6.0,6.0,0.0,6,20,20,0,0.0,1095,0.0,6,0,20,6,255,0
320.3333333,0,31,31,20.66666667,15.5,0.0,31,0,64,0,0.0,-1,4.0,0,4,32,0,64296,0
4.8,2,6,12,4.4,6.0,0.0,6,48,40,0,4.932882862,1024,3.333333333,2,9,20,2,0,1
355465.5458,1689,1689,1140,388.6111111,142.5,3768958.371,797,184,172,1,2495996.901,31083,632948.0,2,9992831,20,0,8192,7
907.7,116,116,97,67.8,48.5,0.0,50,52,60,0,60900000.0,-1,35300000.0,79,106000000,20,47,-1,1
297288.6438,1448,1448,362,308.9444444,36.2,1661435.29,205,232,328,1,1248162.45,118,321800.6875,0,5002059,32,0,29200,3
2706820.456,4380,4380,26,1162.7,8.666666667,21370.88825,20,132,72,1,362880.1252,229,132815.625,0,1030509,20,0,8192,2
3745.333333,150,150,44,79.33333333,44.0,0.0,44,20,32,0,0.0,-1,48467.0,150,48467,32,44,-1,0
2187.0,139,139,58,85.0,58.0,0.0,58,20,20,0,0.0,-1,23455.0,139,23455,20,58,-1,0
6721.333333,194,194,52,99.33333333,52.0,0.0,52,40,32,0,0.0,-1,160850.0,194,160850,32,52,-1,0
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,96.0,0,96,20,6,252,1
0.0,48,48,96,48.0,48.0,0.0,48,64,64,0,74.78190512,-1,48.66666667,48,135,32,48,-1,1
0.0,0,0,0,0.0,0.0,0.0,0,0,64,0,0.0,-1,978219.0,0,978219,32,0,65535,0
40224.0142602495,746,746,870,69.4705882353,48.3333333333,4633584.96840098,435,488,584,1,4768378.79543622,349,3615318.34375,0,10031188,32,0,29200,2
1228.8,100,100,72,61.6,36.0,0.0,36,64,64,0,13671.961563726,-1,7919.0,100,23706,32,36,-1,1
5.333333333,6,6,2,3.333333333,2.0,0.0,2,20,24,1,0.0,0,54.0,6,54,24,2,1024,0
9.6,0,6,18,4.0,6.0,77.7817459305,6,64,60,0,90777.1715663323,175,45427.25,0,181593,20,0,0,2
85.33333333,66,66,50,55.33333333,50.0,0.0,50,32,32,0,0.0,-1,30632.0,66,30632,32,50,-1,0
307518.7778,1509,1509,1062,295.0,96.54545455,16000.86968,821,232,364,1,12475.98663,63,6012.647059,0,32223,32,0,65535,5
76.8,63,63,94,53.4,47.0,0.0,47,40,40,0,87.75724092,-1,54.66666667,63,156,20,47,-1,1
6109933.974,8675,8675,56,897.1538462,7.0,37300000.0,20,92,172,0,29700000.0,229,9170114.909,0,98800000,20,0,256,6
450.25,0,45,76,30.25,25.33333333,1.414213562,45,0,96,0,1.414213562,-1,2.0,0,3,32,0,126,1
258448.761437909,1460,1460,617,331.9444444444,68.5555555556,26221008.6464057,249,172,192,1,18547134.9362599,980,4658089.125,0,74209572,20,0,8192,8
3000.0,142,142,84,82.0,42.0,0.0,42,40,64,0,17899.590395686,-1,10337.3333333333,142,31006,32,42,-1,1
634.8,79,79,66,51.4,33.0,0.0,33,40,40,0,79.38723659,-1,49.33333333,79,141,20,33,-1,1
85.33333333,68,68,52,57.33333333,52.0,0.0,52,32,32,0,0.0,-1,59379.0,68,59379,32,52,-1,0
934.4444444444,114,114,224,81.7777777778,56.0,129498.799354795,56,80,104,0,65991.1331958786,-1,32084.8571428571,114,176086,20,56,-1,3
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,77600000.0,0,77600000,20,6,65535,1
3400.3333333333,165,165,64,97.6666666667,64.0,0.0,64,20,20,0,0.0,-1,60830.0,165,60830,20,64,-1,0
2628327.686,5792,5792,351,796.4,43.875,37200000.0,345,200,260,0,27600000.0,235,8907319.692,0,99700000,20,0,274,2
94838.92917,1141,1141,842,132.5625,84.2,20211.5727,597,168,332,1,14867.64672,350,11151.42857,0,36745,32,0,65535,5
1365.3333333333,120,120,56,77.3333333333,56.0,0.0,56,32,20,0,0.0,-1,47866.0,120,47866,20,56,-1,0
691.2,83,83,70,54.2,35.0,0.0,35,40,40,0,81.11925378,-1,95.33333333,83,189,20,35,-1,1
0.0,0,0,0,0.0,0.0,0.0,0,32,32,0,0.0,33304,48.0,0,48,32,0,8192,0
65.33333333,0,14,14,9.333333333,7.0,0.0,14,0,64,0,0.0,-1,3.0,0,3,32,0,229,0
85.33333333,78,78,62,67.33333333,62.0,0.0,62,32,20,0,0.0,-1,49728.0,78,49728,20,62,-1,0
208.3333333,0,31,37,22.66666667,18.5,0.0,31,0,40,0,0.0,-1,1.0,0,1,20,6,946,1
0.0,0,0,0,0.0,0.0,0.0,0,0,64,0,0.0,-1,2.0,0,2,32,0,274,0
1121.333333,129,129,71,90.33333333,71.0,0.0,71,20,20,0,0.0,-1,457.0,129,457,20,71,-1,0
3121.2,132,132,60,70.8,30.0,0.0,30,64,64,0,655230.4904,-1,378301.0,132,1134896,32,30,-1,1
156.25,0,31,43,12.25,14.3333333333,1.4142135624,31,0,60,0,1.4142135624,-1,2.0,0,3,20,6,980,2
1228.8,95,95,62,56.6,31.0,0.0,31,64,64,0,35376.85622,-1,20450.33333,95,61300,32,31,-1,1
750.0,90,90,80,60.0,40.0,0.0,40,40,40,0,79.18543637,-1,69.33333333,90,157,20,40,-1,1
1044.3,102,102,86,66.6,43.0,0.0,43,64,64,0,263.2736219,-1,154.0,102,458,32,43,-1,1
320.3333333,0,31,31,20.66666667,15.5,0.0,31,0,64,0,0.0,-1,3.0,0,3,32,0,267,0
2665237.485,20,5840,11613,687.1176471,1659.0,40900000.0,5840,192,152,0,25300000.0,256,6689912.133,0,98200000,20,0,229,5
12073.6399286987,384,384,662,42.2352941176,36.7777777778,4557538.96820508,286,444,372,1,4755975.09078019,980,3638720.84375,0,10015534,20,0,8192,17
0.0,0,0,0,0.0,0.0,0.0,0,32,64,0,66481.47246,63,47012.5,0,94022,32,0,490,0
85.33333333,72,72,56,61.33333333,56.0,0.0,56,20,20,0,0.0,-1,36381.0,72,36381,20,56,-1,0
3830.7,155,155,84,87.2,42.0,0.0,42,40,40,0,31588.565278172,-1,18241.6666666667,155,54717,20,42,-1,1
456.3333333333,0,37,37,24.6666666667,18.5,0.0,37,0,64,0,0.0,-1,3.0,0,3,32,0,136,0
780.3,81,81,60,50.4,30.0,0.0,30,40,40,0,26798.29996,-1,15498.0,81,46442,20,30,-1,1
12.0,6,6,0,2.0,0.0,0.0,0,20,40,1,0.0,0,46.0,6,46,40,0,29200,0
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,3.0,0,3,20,6,913,1
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,46.0,0,46,20,6,16425,1
76.8,48,48,64,38.4,32.0,0.0,32,64,64,0,81.95730596,-1,71.0,48,162,32,32,-1,1
750.0,90,90,80,60.0,40.0,0.0,40,64,64,0,91.7986928,-1,56.0,90,162,32,40,-1,1
0.0,0,0,0,0.0,0.0,0.0,0,32,32,0,0.0,350,23.0,0,23,32,0,351,0
0.0,0,0,0,0.0,0.0,2095.40712,0,0,160,0,2095.40712,-1,1205.5,0,4330,32,0,274,0
2447578.401,4344,4344,378,855.6428571,75.6,41600000.0,366,264,144,0,24000000.0,235,6951526.083,0,83300000,20,0,0,2
1116.3,112,112,102,75.4,51.0,0.0,51,40,52,0,64.6632301492,-1,85.3333333333,112,160,20,51,-1,1
1080.0,98,98,76,62.0,38.0,0.0,38,64,64,0,88.75434262,-1,74.33333333,98,173,32,38,-1,1
416344.3225,1505,1505,3379,480.6818182,375.4444444,12290.65932,1460,248,192,1,2124950.507,7735,482847.45,0,9510659,20,0,8192,8
811.2,87,87,70,55.8,35.0,0.0,35,64,64,0,87.75724092,-1,54.66666667,87,156,32,35,-1,1
204.8,6,38,50,12.4,16.66666667,2520.835675,38,20,60,0,2031.458671,0,1190.333333,6,3536,20,6,351,2
0.0,0,6,30,6.0,6.0,3352541.872,6,0,100,0,3352541.872,-1,1676971.25,0,6705784,20,6,256,4
1153.2,97,97,70,59.8,35.0,0.0,35,40,40,0,53375.166363519,-1,30819.6666666667,97,92452,20,35,-1,1
630682.571428572,2267,2267,429,337.0,143.0,193021.059380835,429,136,104,1,120411.450945082,237,62007.5,0,305661,32,0,29200,1
261.3333333,78,78,50,59.33333333,50.0,0.0,50,32,32,0,0.0,-1,602.0,78,602,32,50,-1,0
4915.2,202,202,148,125.2,74.0,0.0,74,40,40,0,111.1410515,-1,67.66666667,202,196,20,74,-1,1
344.7777777778,46,46,24,13.5555555556,6.0,25777762.9895466,6,104,80,0,21754919.779957,132,12755133.0,0,45007251,20,0,251,3
1968.3,128,128,94,79.4,47.0,0.0,47,64,40,0,13689.55223,-1,7907.666667,128,23715,20,47,-1,1
0.0,48,48,48,48.0,48.0,0.0,48,32,20,0,0.0,-1,26238.0,48,26238,20,48,-1,0
186.6666667,61,61,132,41.0,33.0,14319.74773,33,40,128,0,10743.56368,-1,6168.0,61,24828,32,33,-1,3
265688.5524,1525,1525,358,225.4666667,39.77777778,1728550.327,201,168,296,1,1361022.237,110,403203.6923,0,4931385,32,0,29200,3
287327.6103,1460,1460,1148,353.8823529,143.5,3733070.321,804,172,172,1,2558052.288,21,683593.1333,0,9929831,20,0,8192,7
456.3333333,37,37,0,12.33333333,0.0,0.0,0,20,20,0,0.0,62,509744.0,37,509744,20,0,0,0
1200.0,116,116,56,76.0,56.0,0.0,56,20,20,0,0.0,-1,30564.0,116,30564,20,56,-1,0
76.8,48,48,64,38.4,32.0,0.0,32,64,64,0,35635.2228,-1,20604.0,48,61752,32,32,-1,1
0.0,0,0,0,0.0,0.0,0.0,0,0,64,0,0.0,-1,3.0,0,3,32,0,130,0
15696.33333,261,261,44,116.3333333,44.0,0.0,44,32,32,0,0.0,-1,76568.0,261,76568,32,44,-1,0
3681776.011,5840,5840,26,1162.7,8.666666667,4895.300246,20,132,72,1,310147.7121,229,110822.375,0,878375,20,0,8192,2
4.8,2,6,12,4.4,6.0,0.0,6,48,40,0,16.04161255,1024,16.33333333,2,33,20,2,0,1
260231.380952381,1963,1963,460,162.3333333333,65.7142857143,5474778.56454413,430,188,152,1,4498252.15435648,946,2854007.69230769,0,9997346,20,0,8192,6
0.0,0,0,0,0.0,0.0,0.0,0,0,64,0,0.0,-1,979.0,0,979,32,0,274,0
307.2,83,83,102,63.8,51.0,0.0,51,40,40,0,79.096986879,-1,48.6666666667,83,140,20,51,-1,1
261.3333333333,82,82,54,63.3333333333,54.0,0.0,54,40,40,0,0.0,-1,30495.0,82,30495,40,54,-1,0
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,183.0,0,183,20,6,63422,1
0.0,0,0,0,0.0,0.0,1635895.074,0,40,104,1,1342385.771,65535,786489.6667,0,2336487,32,0,29200,0
85.3333333333,68,68,52,57.3333333333,52.0,0.0,52,32,20,0,0.0,-1,52278.0,68,52278,20,52,-1,0
4.8,6,6,4,3.6,2.0,0.0,2,40,48,1,25.69695183,0,16.33333333,6,46,24,2,1024,1
8772.3,202,202,62,99.4,31.0,0.0,31,64,64,0,101155.8086,-1,58406.33333,202,175211,32,31,-1,1
0.0,6,6,6,6.0,6.0,0.0,6,20,20,0,0.0,256,77.0,6,77,20,6,946,0
0.0,6,6,6,6.0,6.0,0.0,6,100,20,0,1767330.982,0,793178.2,6,3954673,20,6,229,0
6720.0,219,219,204,99.0,51.0,17836.65922,51,40,80,0,16983.23874,-1,12406.0,219,31123,20,51,-1,3
19.2,0,8,16,4.8,8.0,0.0,8,64,64,0,62900000.0,235,36300000.0,0,109000000,32,0,229,1
3823273.781,7240,7240,409,800.2666667,45.44444444,30400000.0,409,168,296,0,23800000.0,235,6620779.462,0,85900000,32,0,251,1
0.0,6,6,12,6.0,6.0,0.0,6,20,40,0,282.1356057,0,248.5,6,448,20,6,0,1
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,63.0,0,63,20,6,16270,1
9.326086957,0,6,72,3.25,6.0,1541454.725,6,352,240,0,4983745.66,315,4780551.409,0,10000000,20,0,256,11
5.333333333,6,6,2,3.333333333,2.0,0.0,2,20,24,1,0.0,0,63.0,6,63,24,2,1024,0
206409.9684,1418,1418,510,216.826087,39.23076923,151562.1484,206,296,448,1,125043.0259,349,61781.85714,0,514470,32,0,29200,4
190844.1667,1418,1418,6851,291.8571429,253.7407407,5023952.44,969,680,872,1,4354653.892,488,2545227.745,0,10000000,32,0,29200,9
2241.3333333333,174,174,92,119.3333333333,92.0,0.0,92,20,20,0,0.0,-1,30533.0,174,30533,20,92,-1,0
1732.8,106,106,60,60.4,30.0,0.0,30,64,64,0,83707.70613,-1,48331.66667,106,144989,32,30,-1,1
153764.149245064,1460,1460,757,157.2619047619,37.85,4819189.68574002,318,564,412,1,4488634.54255377,980,2903255.35,0,10004301,20,0,8192,19
940.8,92,92,72,58.4,36.0,0.0,36,40,40,0,29459.00881,-1,17011.66667,92,51028,20,36,-1,1
1598.7,109,109,72,65.2,36.0,0.0,36,40,40,0,27134.8853,-1,15669.33333,109,47002,20,36,-1,1
3000.0,142,142,84,82.0,42.0,0.0,42,40,40,0,116.6247543763,-1,70.3333333333,142,205,20,42,-1,1
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,142.0,0,142,20,6,40880,1
76.8,47,47,62,37.4,31.0,0.0,31,64,64,0,101.3262058897,-1,62.0,47,179,32,31,-1,1
2241.333333,162,162,80,107.3333333,80.0,0.0,80,32,20,0,0.0,-1,47738.0,162,47738,20,80,-1,0
261.3333333,82,82,54,63.33333333,54.0,0.0,54,32,20,0,0.0,-1,50326.0,82,50326,20,54,-1,0
0.0,0,0,0,0.0,0.0,0.0,0,20,20,0,0.0,256,51.0,0,51,20,0,130,0
0.0,0,6,24,6.0,6.0,3361575.214,6,0,80,0,3361575.214,-1,1941304.333,0,5822917,20,6,256,3
505863.8095,1460,1460,12,418.8571429,3.0,119.9388733,6,40,104,0,82.0810575,54,81.4,1460,174,20,0,256,2
261.3333333,70,70,42,51.33333333,42.0,0.0,42,32,32,0,0.0,-1,50204.0,70,50204,32,42,-1,0
2218.8,125,125,78,73.4,39.0,0.0,39,40,40,0,129510.3544,-1,74822.33333,125,224368,20,39,-1,1
0.0,0,6,12,6.0,6.0,0.0,6,0,40,0,0.0,-1,188.0,0,188,20,6,256,1
2778863.297,5792,5792,343,852.7142857,49.0,40600000.0,337,200,220,0,28700000.0,235,8292057.25,0,99400000,20,0,274,2
4.8,6,6,4,3.6,2.0,0.0,2,40,48,1,26.85144316,0,33.0,6,49,24,2,1024,1
1488646.496,4380,4380,4706,1504.805921,12.71891892,1162723.503,517,16912,7420,1,700057.6488,70,52259.85914,0,10000000,20,0,29200,369
456.3,85,85,92,61.6,46.0,0.0,46,64,64,0,97.572195493,-1,59.3333333333,85,172,32,46,-1,1
3625073.789,4380,4380,26,1163.3,8.666666667,494.26764,20,132,72,1,214233.8832,229,75862.5,0,606064,20,0,8192,2
1920.0,114,114,68,66.0,34.0,0.0,34,64,80,0,36390.96483,-1,21012.33333,114,63033,40,34,-1,1
4572451.567,5840,5840,26,1163.3,8.666666667,489.3178926,20,132,72,1,98024.01828,229,34791.375,0,277388,20,0,8192,2
257008.0273,1477,1477,2388,285.8666667,113.7142857,960662.4893,778,480,476,1,1642789.995,612,371791.093,0,9999677,20,0,29200,17
180386.536796537,1381,1381,1789,243.1818181818,127.7857142857,25159574.5756779,565,232,460,1,20303562.1471538,366,4685313.1,0,90928755,32,0,65535,7
76.8,49,49,66,39.4,33.0,0.0,33,64,64,0,85.73797292,-1,53.0,49,152,32,33,-1,1
0.0,48,48,96,48.0,48.0,0.0,48,52,40,0,39800000.0,-1,23000000.0,48,69000000,20,48,-1,1
58.8,46,46,64,37.6,32.0,0.0,32,40,40,0,28223.19058,-1,16296.66667,46,48886,20,32,-1,1
10.28571429,6,6,0,2.571428571,0.0,139.3000359,0,60,92,1,273566.8397,0,200398.6,6,500274,28,0,8192,0
140086.7794,1541,1541,596,133.8235294,59.6,39610.25482,357,200,332,1,18232.87359,972,12186.73333,0,60147,32,0,65535,5
2116.8,115,115,62,64.6,31.0,0.0,31,64,80,0,17978.7034015248,-1,10405.0,115,31165,40,31,-1,1
0.0,0,0,0,0.0,0.0,0.0,0,64,32,0,0.0,290,49.0,0,49,32,0,243,0
307.2,61,61,58,41.8,29.0,0.0,29,64,64,0,74.1911944461,-1,46.3333333333,61,132,32,29,-1,1
1173.611111,104,104,156,67.88888889,39.0,33448.78785,39,128,128,0,14182.28243,-1,8302.714286,104,31573,32,39,-1,3
1228.8,105,105,82,66.6,41.0,0.0,41,64,64,0,97.2848052541,-1,59.6666666667,105,172,32,41,-1,1
19660.8,284,284,56,130.4,28.0,0.0,28,40,40,0,137.4093641,-1,83.33333333,284,242,20,28,-1,1
307.2,68,68,72,48.8,36.0,0.0,36,64,64,0,150.6884203,-1,90.0,68,264,32,36,-1,1
5125.333333,175,175,51,92.33333333,51.0,0.0,51,32,20,0,0.0,-1,201961.0,175,201961,20,51,-1,0
419415.7646,2896,2896,1344,343.0888889,58.43478261,4566106.973,696,680,744,1,3492138.754,128,1436843.163,0,10000000,32,0,29200,4
0.0,6,6,6,6.0,6.0,0.0,6,20,20,0,0.0,16384,22103.0,6,22103,20,6,29200,0
0.0,0,0,0,0.0,0.0,0.0,0,0,64,0,0.0,-1,7808.0,0,7808,32,0,262,0
0.0,0,0,0,0.0,0.0,24.1712639305,0,0,160,0,24.1712639305,-1,12.75,0,49,32,0,33297,0
5.333333333,6,6,2,3.333333333,2.0,0.0,2,20,24,1,0.0,0,82.0,6,82,24,2,1024,0
0.0,0,0,0,0.0,0.0,0.0,0,32,32,0,0.0,257,24.0,0,24,32,0,63,0
4248.3,155,155,72,83.6,36.0,0.0,36,64,64,0,35758.1889781907,-1,20647.0,155,61937,32,36,-1,1
5880.0,189,189,98,105.0,49.0,0.0,49,40,40,0,42287.73778,-1,24440.33333,189,73270,20,49,-1,1
4915.2,198,198,140,121.2,70.0,0.0,70,40,40,0,109.9863628,-1,67.0,198,194,20,70,-1,1
1166.666667,105,105,140,55.0,35.0,17464.84567,35,64,128,0,13381.47595,-1,6338.0,105,30252,32,35,-1,3
628357.5536,2266,2266,433,338.875,144.3333333,22873.49016,427,92,72,1,16675.443,237,11097.0,0,32710,20,0,8192,2
0.0,0,50,650,50.0,50.0,1.9924098398,50,0,260,0,1.9924098398,-1,1.8333333333,0,8,20,50,-1,12
0.0,23,23,46,23.0,23.0,0.0,23,64,64,0,96.99484522,-1,57.0,23,169,32,23,-1,1
0.0,6,6,6,6.0,6.0,0.0,6,120,20,0,3996905.172,0,1633582.667,6,9792229,20,6,229,0
10.8,0,6,12,2.4,4.0,3652505.631,6,32,72,1,2994568.805,14600,1750066.333,0,5207811,20,0,8192,2
1958000.096,4380,4380,62,729.3125,6.888888889,29500000.0,20,132,192,0,22500000.0,229,6592858.357,0,84300000,20,0,256,7
6348.0,192,192,54,100.0,54.0,0.0,54,32,32,0,0.0,-1,89274.0,192,89274,32,54,-1,0
3121.2,132,132,60,70.8,30.0,0.0,30,40,40,0,109.4090185,-1,66.66666667,132,193,20,30,-1,1
0.0,0,0,0,0.0,0.0,0.0,0,32,32,0,0.0,253,50352.0,0,50352,32,0,560,0
2648631.781,4380,4380,56,777.9333333,7.0,25700000.0,20,132,172,0,19100000.0,229,6206302.0,0,69000000,20,0,256,6
2116.8,123,123,78,72.6,39.0,0.0,39,40,40,0,13866.7988,-1,8008.0,123,24020,20,39,-1,1
5.333333333,6,6,2,3.333333333,2.0,0.0,2,20,24,1,0.0,0,50.0,6,50,24,2,1024,0
0.0,38,38,152,38.0,38.0,23340.83885,38,40,80,0,17542.56407,-1,9640.8,38,40453,20,38,-1,3
204.8,6,38,50,12.4,16.66666667,5095.411465,38,20,60,0,4231.392245,0,2583.333333,6,7467,20,6,351,2
0.0,0,6,30,6.0,6.0,4970039.522,6,0,100,0,4970039.522,-1,2485682.75,0,9940742,20,6,256,4
1116.3,101,101,80,64.4,40.0,0.0,40,40,64,0,17742.85406,-1,10269.33333,101,30757,32,40,-1,1
4423095.192,5840,5840,56,833.5,7.0,35300000.0,20,112,172,0,27000000.0,229,8083136.5,0,93800000,20,0,256,6
